iter	Logloss
0	0.6301031729
1	0.5671546991
2	0.5160863773
3	0.4766657183
4	0.4389875344
5	0.4059485825
6	0.3832630119
7	0.3567860621
8	0.3387934306
9	0.3209776515
10	0.3034428019
11	0.2919971027
12	0.2789459172
13	0.2701093636
14	0.2614758995
15	0.2540750496
16	0.2472813349
17	0.241276534
18	0.2343196072
19	0.228789643
20	0.22545828
21	0.2219850918
22	0.216122381
23	0.2116156481
24	0.2079033182
25	0.2052361021
26	0.2029886643
27	0.1998463777
28	0.1980070934
29	0.1957477674
30	0.19315564
31	0.1908645835
32	0.1895522432
33	0.187867925
34	0.1859406419
35	0.1842307548
36	0.1827216531
37	0.1818051438
38	0.1802463256
39	0.1790356754
40	0.1776997303
41	0.176598527
42	0.1756207123
43	0.1747328915
44	0.1737211194
45	0.1726462973
46	0.1719614587
47	0.1711394549
48	0.1699581795
49	0.1689993877
50	0.1681383821
51	0.1671683797
52	0.1666172614
53	0.1657892871
54	0.1650478159
55	0.1644574052
56	0.163740156
57	0.1630565003
58	0.1622855659
59	0.161493401
60	0.1608873898
61	0.1602389481
62	0.1597807787
63	0.1592845799
64	0.1584314783
65	0.1577371988
66	0.1572418444
67	0.1566650401
68	0.1560002038
69	0.1554358123
70	0.1548312379
71	0.154349334
72	0.153740893
73	0.1532618799
74	0.1528451416
75	0.1523236826
76	0.1519034936
77	0.15140623
78	0.1509424339
79	0.1505787133
80	0.1500593239
81	0.1496501137
82	0.1491399761
83	0.1488649938
84	0.1482929318
85	0.1478636294
86	0.147499825
87	0.1471934862
88	0.1467721361
89	0.1463818265
90	0.1459210049
91	0.1455869515
92	0.1451079978
93	0.1446626007
94	0.1442990452
95	0.1437848204
96	0.1434877809
97	0.1430632232
98	0.1427840234
99	0.1424166483
100	0.1421024796
101	0.1415249372
102	0.1412742995
103	0.1409277284
104	0.140633822
105	0.140327223
106	0.1398689826
107	0.1395529288
108	0.139264346
109	0.1389188878
110	0.1385799413
111	0.1382467768
112	0.1380194444
113	0.1376429283
114	0.1373368129
115	0.1369982065
116	0.1366149737
117	0.1364450111
118	0.1361447747
119	0.1358865781
120	0.1354674077
121	0.1352724083
122	0.135112092
123	0.1347512123
124	0.1343511395
125	0.1340740112
126	0.1336643324
127	0.1333858947
128	0.1330574696
129	0.1327133587
130	0.1323522684
131	0.1321003935
132	0.1316278524
133	0.1313504399
134	0.131058658
135	0.1308406421
136	0.1305925991
137	0.1303298683
138	0.1300150939
139	0.1296024515
140	0.1292040593
141	0.1288432009
142	0.1286189986
143	0.1281790489
144	0.1278010333
145	0.1274536278
146	0.1271607299
147	0.1268684292
148	0.1265317847
149	0.1263062199
150	0.1260719795
151	0.1258190022
152	0.1254354851
153	0.1251486874
154	0.1248976622
155	0.1246366176
156	0.124270533
157	0.1240629966
158	0.1236935753
159	0.1234056698
160	0.1232046278
161	0.1228522973
162	0.1225786537
163	0.1223333151
164	0.1220538404
165	0.121714377
166	0.1215066877
167	0.1211199881
168	0.1207709574
169	0.1205082366
170	0.1202387029
171	0.1200738864
172	0.1198579525
173	0.1195714984
174	0.1192711859
175	0.118916263
176	0.1186861739
177	0.1184756236
178	0.118295679
179	0.1181209575
180	0.1178822414
181	0.1175361405
182	0.1171822314
183	0.1168864048
184	0.1166705099
185	0.116436503
186	0.1160150761
187	0.1156731485
188	0.1154115888
189	0.1151224379
190	0.1148371097
191	0.1146178849
192	0.1144087554
193	0.1142040647
194	0.1139098872
195	0.1136119671
196	0.1133116587
197	0.1131786382
198	0.1128006882
199	0.112526596
200	0.1121033314
201	0.1118368707
202	0.1115330634
203	0.1112003268
204	0.1109425207
205	0.1106383717
206	0.1104413204
207	0.1102129453
208	0.1097983598
209	0.1094824148
210	0.1092909419
211	0.1089679807
212	0.1086591584
213	0.1084278407
214	0.1080737197
215	0.1077091974
216	0.1074620778
217	0.107217134
218	0.1069166763
219	0.1066474814
220	0.1063608461
221	0.1060235495
222	0.1057331266
223	0.1055070153
224	0.1052901029
225	0.1050498981
226	0.1048547351
227	0.1046084359
228	0.1043348139
229	0.1040606132
230	0.1037810833
231	0.103548807
232	0.1032716036
233	0.1029551099
234	0.1025301157
235	0.1023051076
236	0.1019478316
237	0.1015940681
238	0.101378153
239	0.1011398993
